Subject Organisation,Data Source,Data Source Type,Region,Locale,Scope,Estate,Store,Depot,Temporal Grain,Frequency,Traded Unit,Restatement
Asda ,Retail Link,Portal,Europe,United Kingdom,Flow of Goods,TRUE,TRUE,TRUE,Day,Daily,,TRUE
Co-Op,Atheon,Atheon Direct,Europe,United Kingdom,Flow of Goods,TRUE,TRUE,TRUE,Day,Daily,TRUE,TRUE
Morrisons,Atheon,Atheon Direct,Europe,United Kingdom,Flow of Goods,TRUE,TRUE,TRUE,Day,Daily,TRUE,TRUE
Sainsbury's,Horizon,Portal,Europe,United Kingdom,Flow of Goods,TRUE,FALSE,TRUE,Day,Daily,,TRUE
Sainsbury's,Big Button,Portal,Europe,United Kingdom,Flow of Goods,FALSE,TRUE,FALSE,Day,Unknown,,
Tesco,Partner Toolkit,Portal,Europe,United Kingdom,Flow of Goods,TRUE,TRUE,TRUE,Day,Daily,,TRUE
Iceland,Supplier share [1],Email,Europe,United Kingdom,Flow of Goods,TRUE,FALSE,TRUE,Week,Weekly,,
Iceland,Supplier share [2],Email,Europe,United Kingdom,"Sales, range & availability",TRUE,FALSE,FALSE,Day,Unknown,,
Waitrose,Connect,Portal,Europe,United Kingdom,Sales only,TRUE,FALSE,FALSE,Day,Daily,,
Waitrose,Connect,Portal,Europe,United Kingdom,Sales only,FALSE,TRUE,FALSE,Week,Weekly,,
Convenience,ITG,Atheon Direct,Europe,United Kingdom,Sales only,TRUE,TRUE,FALSE,Day,,,
Amazon,Vendor Central,Portal,Europe,United Kingdom,Sales only,TRUE,FALSE,FALSE,Day,,,
Ocado,Beet,Portal,Europe,United Kingdom,Flow of Goods,TRUE,FALSE,FALSE,Day,,,
Poundland,,,Europe,United Kingdom,Sales only,TRUE,TRUE,FALSE,Week,Unknown,,
Pets at Home,,Portal,Europe,United Kingdom,Sales only,TRUE,TRUE,FALSE,Week,Unknown,,
Home Bargains,,,Europe,United Kingdom,Sales only,TRUE,FALSE,TRUE,Week,Unknown,,
M&S,,,Europe,United Kingdom,,,,,,,,
Boots,,Portal,Europe,United Kingdom,Unknown,,,,,,,
Holland & Barrett,Vendor Portal,Portal,Europe,United Kingdom,Unknown,,,,,,,
Mathem,,,Europe,Sweden,,,,,,,,
ICA,,,Europe,Sweden,,,,,,,,
Mercadona,,,Europe,Spain,,,,,,,,
Eroski,,,Europe,Spain,,,,,,,,
Hiperco,,,Europe,Spain,,,,,,,,
Tesco,Connect/Partner Toolkit,,Europe,Republic of Ireland,Unknown,,,,,,,
SuperValu,,,Europe,Republic of Ireland,Unknown,,,,,,,
Dunnes,,Unavailable,Europe,Republic of Ireland,,,,,,,,
Zabka,,,Europe,Poland,,,,,,,,
Biedronka Jeronimo Martins,,,Europe,Poland,,,,,,,,
Lidl,,,Europe,Poland,,,,,,,,
Carrefour,,,Europe,Poland,,,,,,,,
Kaufland,,,Europe,Poland,,,,,,,,
Aldi,,,Europe,Poland,,,,,,,,
Auchan,,,Europe,Poland,,,,,,,,
Netto,,,Europe,Poland,,,,,,,,
Jumbo,,,Europe,Netherlands,,,,,,,,
Ahold Delhaize,,,Europe,Netherlands,,,,,,,,
dm-drogerie markt,,,Europe,Germany,,,,,,,,
Rewe,,,Europe,Germany,,,,,,,,
Cora,,,Europe,France,,,,,,,,
Intermarche,,,Europe,France,,,,,,,,
Casino,,,Europe,France,,,,,,,,
Auchan,,,Europe,France,,,,,,,,
Carrefour,,,Europe,France,,,,,,,,
Wal-Mart,Retail Link,Portal,North America,United States,Flow of Goods,TRUE,TRUE,TRUE,Day,Daily,,
Kroger,8451,Portal,North America,United States,,,,,,,,
Whole Foods,,,North America,United States,,,,,,,,
